paramtype,param_name,med_est,high_est,low_est
democracy,__safi__,0.01883969561023163,0.14998745903218666,-0.10890716741663756
democracy,3arabawy,-1.147483338835225,-1.0800695992305391,-1.2136451469625547
democracy,5orm,-1.1381424542312963,-1.0678039540867195,-1.206014165605734
democracy,adel_salib,-1.0724019778127012,-1.000282576205493,-1.1414430267952553
democracy,ahlemhc,1.9920391309745085,2.0304595828659373,1.956585654155347
democracy,ahmad_khalil,-2.18249543869984,-2.138328789850874,-2.2272487123893825
democracy,ahmada2,-1.1018475850166627,-1.0284124439247821,-1.173925885264901
democracy,ahmadesseily,-1.9087418228663475,-1.8620787069684164,-1.954389014835765
democracy,ahmdalish,-1.984062319616759,-1.941239294878875,-2.0300244858489154
democracy,ahmednaguib,0.012804316907061972,0.1728152785759318,-0.12236825893711065
democracy,alaa,-2.445267043912385,-2.4043540536451324,-2.4866452753615174
democracy,alaaaswany,-1.9989822823339276,-1.9973199321398563,-2.000639870895692
democracy,albawsalatn,1.9999633156835517,2.00170689802523,1.9983531639452783
democracy,alienzero,-1.2036040888504094,-1.1379222617864246,-1.268670737282548
democracy,alnagar80,-1.6013403889192594,-1.5497682239378512,-1.652532180026551
democracy,alnourpartyeg,1.1979609388250476,1.3355063768767779,1.0591661471511882
democracy,alqaradawy,1.1130830915254073,1.2651157368750376,0.8732892313929809
democracy,alyaagad,-1.7219953651827553,-1.6714418838914515,-1.7741761434349506
democracy,amrmsalama,-1.0243506726424738,-0.9506592592301274,-1.1005269403278464
democracy,amrrodriguez,-1.2797711678521426,-1.2138075695826342,-1.3464912915111145
democracy,amrwaked,-1.1774213406030418,-1.1052860296470175,-1.2481910190573782
democracy,arabasta1,1.91642577170325,1.9594285267087836,1.8783257087405014
democracy,asmaamahfouz,-1.2023406852945082,-1.1363978251502367,-1.2678060339987134
democracy,ayaabdullah,-0.9969888582430972,-0.9152370094528413,-1.0710255296882372
democracy,azyyoz,1.4606739022339357,1.509812487291765,1.4063601867982738
democracy,azzaelgarf,1.1215182281316065,1.2727684972116213,0.9594161413933077
democracy,bassem_sabry,-1.370658379379246,-1.309493430575745,-1.432824063972735
democracy,benmhennilina,1.9248122642483345,1.963442776825641,1.883948026933075
democracy,bidules,1.7819624108887893,1.8197768684245585,1.7439701950432096
democracy,blech_klem,0.5889418281564076,0.6928510574887425,0.48593436219117764
democracy,bothainakamel1,-1.7714408586241421,-1.7252022455925533,-1.8189436461206068
democracy,boukornineblog,2.0780833509592087,2.1172106211573336,2.0449262380711772
democracy,c_moii,0.29269212432404984,0.4068346169452301,0.17914986371080832
democracy,chiheb12,1.144022038391413,1.2113020474869363,1.0714417665024107
democracy,dr_heba_raouf,-0.32017838716532376,-0.21283455459583986,-0.42607658547584887
democracy,drbassemyoussef,-1.0714356771515998,-0.9982614606212364,-1.14186542282542
democracy,egyptocracy,-0.4801839971251063,-0.3563437017036756,-0.5889490167397798
democracy,elbaradei,-0.7383590755330917,-0.6479730374601931,-0.8272534539960299
democracy,embee,0.04871914203622099,0.20189429445263146,-0.0949539657097183
democracy,emnachebaane,0.2413467745515682,0.35451287638257617,0.12611565700738359
democracy,etharkamal,0.11794625649941007,0.2850861436851933,-0.03778744510867453
democracy,eyaturki,1.523360513158357,1.572918247144426,1.4766757257577932
democracy,faiyla,1.4949600430784709,1.5447392496909804,1.440676044036328
democracy,galalamer,-1.2972094139107577,-1.2326297151175187,-1.3608653491084506
democracy,gamaleid,-2.3983515813785403,-2.358405175398681,-2.441292715828559
democracy,gelhaddad,0.5904902455642176,0.9218851351903886,0.44627993265025867
democracy,gemyhood,-1.4532725588986546,-1.3937037563211998,-1.5091497092795065
democracy,ghonim,-0.10587916010761252,0.038926471757717185,-0.25163981510465516
democracy,gsquare86,-0.78217168242868,-0.6974275245525603,-0.867838416018186
democracy,hamzanamira,0.5552240768719168,0.6940640962225523,0.41594151430285387
democracy,hazem_azim,-2.7527235414488973,-2.714619754695864,-2.79490150436762
democracy,heshoz,-1.9721335278137158,-1.924130441893358,-2.0180486056288505
democracy,hfakhry,-0.7515772381733548,-0.6626066980576545,-0.8449698185708266
democracy,houeida,0.9786831234248754,1.0523196884978832,0.9006469311231385
democracy,i3atef,-1.7734281818186548,-1.7268003222599926,-1.8213356721793605
democracy,ifikra,1.253587962329571,1.3115586595332345,1.1918118378376088
democracy,ikhwanweb,0.75759396454616,1.172838001794441,0.6091301365009141
democracy,indigo_light,1.4463515419473458,1.494441165013575,1.3994961989429948
democracy,jasmintn,2.075866035030977,2.111438814838908,2.0420876161493777
democracy,jnayna,0.34174028816788327,0.45037830939383633,0.2336045670848324
democracy,kalimakhus,-2.260569076077606,-2.218665205440432,-2.30238119765545
democracy,kalnaga,0.01623846814156471,0.15856324378526826,-0.12102644321693129
democracy,karim2k,1.7619130596955475,1.820465804014227,1.711982641624155
democracy,khalilbm,1.2135396242698824,1.2769450802014848,1.1519723232215597
democracy,khamousss,2.1707369038847526,2.272398241535093,0.43210984589348633
democracy,kiffegrave,1.040161275493781,1.1122465857167974,0.9656993213357353
democracy,lastoadri,-0.592303676770733,-0.48134689610933684,-0.6936820127837416
democracy,lilianwagdy,-1.4481703984444372,-1.391253294030149,-1.5079373553248938
democracy,liliopatra,1.7817531591271578,1.8147265277693587,1.7489891039619139
democracy,loainagati,-1.1392968779823578,-1.069787461216981,-1.2061449248383458
democracy,m3adel,-0.1936065946215309,-0.07415791036913984,-0.307170415237374
democracy,majdikhan,1.9110971921878193,1.9523322184329799,1.8736710803248504
